id,first_name,second_name,team_code,team_name,type,cost,status,total_points,round,kickoff_time,opp_team_id,opp_team_name,was_home,team_h_score,team_a_score,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,opp_strength_overall_home,opp_strength_overall_away,opp_strength_attack_home,opp_strength_attack_away,opp_strength_defence_home,opp_strength_defence_away,minutes,yellow_cards,red_cards,goals_scored,own_goals,fouls,dribbles,saves,clean_sheets,goals_conceded,penalties_saved,errors_leading_to_goal,errors_leading_to_goal_attempt,clearances_blocks_interceptions,penalties_conceded,tackles,recoveries,big_chances_missed,offside,open_play_crosses,big_chances_created,key_passes,attempted_passes,completed_passes,assists,penalties_missed,tackled,target_missed,points
369,Wayne,Routledge,80,Swansea,3,47,a,42,1,13 Aug 15:00,3,Burnley,False,0,1,970,1000,950,960,990,1035,940,1040,940,1125,925,1000,86,0,0,0,0,2,1,0,1,0,0,0,0,1,0,2,5,1,0,2,0,4,32,20,0,0,3,1,3
369,Wayne,Routledge,80,Swansea,3,47,a,42,2,20 Aug 15:00,7,Hull,True,0,2,970,1000,950,960,990,1035,940,980,940,950,960,970,54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,5,25,20,0,0,1,1,1
369,Wayne,Routledge,80,Swansea,3,47,a,42,3,27 Aug 15:00,8,Leicester,False,2,1,970,1000,950,960,990,1035,1075,1190,1000,1240,1075,1100,58,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,10,5,0,0,2,0,1
369,Wayne,Routledge,80,Swansea,3,47,a,42,4,11 Sep 16:00,4,Chelsea,True,2,2,970,1000,950,960,990,1035,1310,1340,1300,1350,1300,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Wayne,Routledge,80,Swansea,3,47,a,42,5,18 Sep 14:15,13,Southampton,False,1,0,970,1000,950,960,990,1035,1120,1170,1200,1260,1175,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Wayne,Routledge,80,Swansea,3,47,a,42,6,24 Sep 15:00,10,Man City,True,1,3,970,1000,950,960,990,1035,1270,1320,1175,1275,1350,1400,72,0,0,0,0,3,2,0,0,2,0,0,0,3,0,0,3,0,0,5,0,2,21,11,0,0,4,1,2
369,Wayne,Routledge,80,Swansea,3,47,a,42,7,01 Oct 12:30,9,Liverpool,True,1,2,970,1000,950,960,990,1035,1270,1310,1175,1210,1325,1420,61,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,1,23,10,0,0,1,0,2
369,Wayne,Routledge,80,Swansea,3,47,a,42,8,15 Oct 15:00,1,Arsenal,False,3,2,970,1000,950,960,990,1035,1290,1300,1300,1250,1300,1375,90,0,0,0,0,1,0,0,0,3,0,0,0,1,0,2,4,0,0,0,1,1,29,17,0,0,1,0,2
369,Wayne,Routledge,80,Swansea,3,47,a,42,9,22 Oct 15:00,18,Watford,True,0,0,970,1000,950,960,990,1035,1070,1060,1015,1050,1015,1065,67,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,3,0,0,1,0,0,22,13,0,0,2,0,3
369,Wayne,Routledge,80,Swansea,3,47,a,42,10,31 Oct 20:00,14,Stoke,False,3,1,970,1000,950,960,990,1035,1010,1040,970,1025,970,1065,90,0,0,1,0,2,2,0,0,3,0,0,0,1,0,1,7,0,0,0,0,1,18,12,0,0,2,0,8
